event_change,start_time,end_time,duration,state,most_implicated_var
1,2017-01-01 01:05:00,2017-01-01 09:10:00,8.083333333333334,Degraded,Cyclone_Material_Temp
3,2017-01-01 09:20:00,2017-01-01 09:25:00,0.08333333333333333,Degraded,Cyclone_cone_draft
5,2017-01-01 09:35:00,2017-01-01 09:45:00,0.16666666666666666,Degraded,Cyclone_Material_Temp
7,2017-01-01 09:55:00,2017-01-01 09:55:00,0.0,Degraded,
9,2017-01-01 10:05:00,2017-01-01 10:40:00,0.5833333333333334,Degraded,Cyclone_Material_Temp
11,2017-01-01 10:55:00,2017-01-01 11:25:00,0.5,Degraded,Cyclone_Material_Temp
13,2017-01-01 11:35:00,2017-01-01 11:40:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
15,2017-01-01 11:50:00,2017-01-01 12:10:00,0.3333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
17,2017-01-01 12:20:00,2017-01-01 12:40:00,0.3333333333333333,Degraded,Cyclone_Material_Temp
19,2017-01-01 12:50:00,2017-01-01 12:50:00,0.0,Degraded,
21,2017-01-01 13:00:00,2017-01-01 13:20:00,0.3333333333333333,Degraded,Cyclone_Material_Temp
23,2017-01-01 13:30:00,2017-01-01 13:30:00,0.0,Degraded,
25,2017-01-01 13:40:00,2017-01-01 13:40:00,0.0,Degraded,
27,2017-01-01 13:55:00,2017-01-01 14:00:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
29,2017-01-01 14:15:00,2017-01-01 14:20:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
31,2017-01-01 14:30:00,2017-01-01 14:35:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
33,2017-01-01 14:45:00,2017-01-01 14:45:00,0.0,Degraded,
35,2017-01-01 14:55:00,2017-01-01 15:00:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
37,2017-01-01 15:10:00,2017-01-01 15:15:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
39,2017-01-01 15:25:00,2017-01-01 15:25:00,0.0,Degraded,
41,2017-01-01 15:45:00,2017-01-01 15:50:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
43,2017-01-01 16:00:00,2017-01-01 16:05:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
45,2017-01-01 16:15:00,2017-01-01 16:35:00,0.3333333333333333,Degraded,Cyclone_Inlet_Gas_Temp
47,2017-01-01 16:45:00,2017-01-01 17:25:00,0.6666666666666666,Degraded,Cyclone_Material_Temp
49,2017-01-01 17:40:00,2017-01-01 17:45:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
51,2017-01-01 18:00:00,2017-01-01 18:15:00,0.25,Degraded,Cyclone_Material_Temp
53,2017-01-01 18:25:00,2017-01-01 18:25:00,0.0,Degraded,
55,2017-01-01 18:45:00,2017-01-01 18:50:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
57,2017-01-01 19:05:00,2017-01-01 19:15:00,0.16666666666666666,Degraded,Cyclone_Material_Temp
59,2017-01-01 19:25:00,2017-01-01 19:35:00,0.16666666666666666,Degraded,Cyclone_Inlet_Gas_Temp
61,2017-01-01 19:45:00,2017-01-01 20:00:00,0.25,Degraded,Cyclone_Material_Temp
63,2017-01-01 20:15:00,2017-01-01 20:20:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
65,2017-01-01 20:30:00,2017-01-01 20:30:00,0.0,Degraded,
67,2017-01-01 20:40:00,2017-01-01 20:40:00,0.0,Degraded,
69,2017-01-01 20:50:00,2017-01-01 20:50:00,0.0,Degraded,
71,2017-01-01 21:10:00,2017-01-01 21:25:00,0.25,Degraded,Cyclone_Gas_Outlet_Temp
73,2017-01-01 21:40:00,2017-01-01 21:40:00,0.0,Degraded,
75,2017-01-01 21:50:00,2017-01-01 22:00:00,0.16666666666666666,Degraded,Cyclone_Gas_Outlet_Temp
77,2017-01-01 22:20:00,2017-01-01 22:20:00,0.0,Degraded,
79,2017-01-01 22:40:00,2017-01-01 22:40:00,0.0,Degraded,
81,2017-01-01 22:50:00,2017-01-01 23:05:00,0.25,Degraded,Cyclone_Material_Temp
83,2017-01-01 23:15:00,2017-01-01 23:15:00,0.0,Degraded,
85,2017-01-01 23:30:00,2017-01-01 23:40:00,0.16666666666666666,Degraded,Cyclone_Gas_Outlet_Temp
87,2017-01-02 00:00:00,2017-01-02 00:05:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
89,2017-01-02 00:15:00,2017-01-02 00:25:00,0.16666666666666666,Degraded,Cyclone_Inlet_Gas_Temp
91,2017-01-02 00:35:00,2017-01-02 00:50:00,0.25,Degraded,Cyclone_Material_Temp
93,2017-01-02 01:00:00,2017-01-02 01:05:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
